State,dw_code,party_x,party_y,Metro Area,County (may overlap with multiple counties),benchmark_60.60_85k_eptc,benchmark_40_32k_eptc,benchmark_60.60_85k_no_eptc,benchmark_40_32k_no_eptc,last_name,first_name,birthday,gender,fullname,BACH_PLUS_pct,FOREIGN_BORN_pct,stdis_y,Congressional District,Total population,Median Household Income,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),One race,Two or More Races,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Not Hispanic or Latino,Not Hispanic or Latino - White alone,Not Hispanic or Latino - Black or African American alone,Not Hispanic or Latino - American Indian and Alaska Native alone,Not Hispanic or Latino - Asian alone,Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino - Some Other Race alone,Not Hispanic or Latino - Two or More Races,Total housing units,Harris,Trump2024,Total2024,Harris5,Trump%,Margin,Biden,Trump2020,Total2020,Biden%,Trump2020%,Margin2020,PctBachelors+,STATEFP,district,GEOID
Mississippi,MS01,R,Republican,"Oxford, MS",Lafayette County,602.08,58.13,2788.16,180.27,Kelly,Trent,3/1/66,M,Trent Kelly,0.2312,0.0306,MS01,Mississippi 01,743078,60877,359996,383082,94,43775,46458,52345,56322,50362,94278,93022,93296,44782,48177,72538,36029,11694,38,717020,26058,483202,208541,1450,6634,348,29066,714012,476955,207871,711,6592,341,2306,19236,333838,99872,219885,324057,30.82%,67.85%,-37.03%,"111,535","217,291","333,728",33.42%,65.11%,-31.69%,22.7,28,1,2801
Mississippi,MS02,D,Democrat,"Vicksburg, MS",Warren County,602.08,58.14,2782.99,180.27,Thompson,Bennie,1/28/48,M,Bennie Thompson,0.212,0.0172,MS02,Mississippi 02,726691,43811,351895,374796,93.9,44227,45879,51472,52919,47779,89532,90433,83010,47321,48587,77591,35549,12392,38.5,709248,17443,229641,466081,2030,3483,152,16395,710296,226210,465292,1953,3419,136,1461,11825,341536,170917,112590,286455,59.67%,39.30%,20.36%,"208,159","121,206","333,247",62.46%,36.37%,26.09%,21.7,28,2,2802
Mississippi,MS03,R,Republican,"Starkville, MS",Oktibbeha County,602.08,58.14,2780.39,180.27,Guest,Michael,2/4/70,M,Michael Guest,0.2774,0.0264,MS03,Mississippi 03,738313,57738,355738,382575,93,44810,44034,51360,53443,52966,92126,92886,89887,44260,47097,74852,37516,13076,38.4,716766,21547,439358,250462,7654,8192,489,20429,717884,434500,250176,6693,8186,410,2925,14994,329943,113023,207443,323626,34.92%,64.10%,-29.18%,"128,386","212,321","345,011",37.21%,61.54%,-24.33%,29.2,28,3,2803
Mississippi,MS04,R,Republican,"Gulfport-Biloxi, MS",Harrison County,602.08,58.13,2849.29,180.27,Ezell,Mike,4/6/59,M,Mike Ezell,0.235,0.0381,MS04,Mississippi 04,743356,58969,363892,379464,95.9,44333,45628,52881,50133,50014,95094,94819,89842,45971,50763,75307,35952,12619,38.6,702230,41126,509672,165693,2047,10609,422,40236,703120,498525,164767,975,10275,288,2815,25475,327494,82856,207826,293870,28.19%,70.72%,-42.53%,"91,318","205,946","301,772",30.26%,68.25%,-37.98%,25.3,28,4,2804
Missouri,MO01,D,Democrat,"St. Louis, MO-IL",St. Louis County,602.08,58.13,2085.8,180.26,Bell,Wesley,11/5/74,M,Wesley Bell,0.3622,0.0714,MO01,Missouri 01,759116,60099,359991,399125,90.2,45222,41786,47654,47671,50812,124503,100137,83764,47807,50521,73118,32216,13905,36.9,715581,43535,322910,348900,1180,25974,246,34168,724948,315042,347533,680,25786,209,3494,32204,390588,244275,64567,314220,77.74%,20.55%,57.19%,"278,269","71,037","355,000",78.39%,20.01%,58.38%,38.7,29,1,2901
Missouri,MO02,R,Republican,"St. Louis, MO-IL",St. Louis County,602.08,58.13,2085.8,180.26,Wagner,Ann,9/13/62,F,Ann Wagner,0.4868,0.0748,MO02,Missouri 02,765299,99979,376737,388562,97,41980,48382,47969,47221,39058,87703,98861,97393,53243,54092,87073,44448,17876,42.1,712522,52777,646367,23326,872,35021,145,25012,740287,638771,22972,450,34863,123,2514,40594,324554,196255,230556,433971,45.22%,53.13%,-7.90%,"198,823","232,845","438,960",45.29%,53.04%,-7.75%,49.5,29,2,2902
Missouri,MO03,R,Republican,"St. Louis, MO-IL",St. Charles County,602.08,58.13,2481.22,180.26,Onder,Robert,1/6/62,M,Robert Onder,0.3458,0.0398,MO03,Missouri 03,775773,80027,385417,390356,98.7,42303,46448,48279,52582,58100,96442,100673,91775,51313,54079,80800,38954,14025,39.2,733244,42529,669474,36750,1368,17270,377,26787,748986,660938,36058,796,17058,364,2350,31422,342913,146055,254638,406388,35.94%,62.66%,-26.72%,"142,584","247,108","397,210",35.90%,62.21%,-26.31%,34.3,29,3,2903
Missouri,MO04,R,Republican,"Columbia, MO",Boone County,602.08,58.13,2604.94,180.26,Alford,Mark,10/4/63,M,Mark Alford,0.2411,0.0338,MO04,Missouri 04,777788,65428,388599,389189,99.8,47149,49236,52419,55683,53338,96787,93237,88287,50609,52628,81907,41621,14887,38.5,729209,48579,672483,33978,2441,7645,1211,39934,737854,658976,33310,1861,7484,1158,2742,32323,354608,106163,265110,375940,28.24%,70.52%,-42.28%,"109,920","257,315","374,598",29.34%,68.69%,-39.35%,25.4,29,4,2904
Missouri,MO05,D,Democrat,"Kansas City, MO-KS",Clay County,602.08,58.13,2336.01,180.26,Cleaver,Emanuel,10/26/44,M,Emanuel Cleaver,0.3326,0.0732,MO05,Missouri 05,769211,66502,374920,394291,95.1,47483,49463,49726,47240,48235,122621,101956,87716,46270,48573,71737,33255,14936,36.7,703068,66143,478016,170645,3107,15490,2781,87269,681942,455109,169161,1273,15114,2709,4214,34362,361228,205020,126971,337623,60.72%,37.61%,23.12%,"217,895","125,686","350,584",62.15%,35.85%,26.30%,34.6,29,5,2905
Missouri,MO06,R,Republican,"Kansas City, MO-KS",Clay County,602.08,58.13,2725.4,180.26,Graves,Sam,11/7/63,M,Sam Graves,0.2583,0.0314,MO06,Missouri 06,771228,71527,385057,386171,99.7,45853,49493,51530,52880,46965,93066,98748,92830,50050,53845,79547,40597,15824,39.6,734549,36679,683726,27991,2184,8978,1615,30968,740260,673972,27137,1426,8951,1329,1660,25785,337504,114818,263613,382953,29.98%,68.84%,-38.85%,"115,548","255,727","377,863",30.58%,67.68%,-37.10%,25.7,29,6,2906
Missouri,MO07,R,Republican,"Springfield, MO",Greene County,602.08,58.13,2520.06,180.26,Burlison,Eric,10/2/76,M,Eric Burlison,0.2654,0.0429,MO07,Missouri 07,777886,60240,383614,394272,97.3,45682,49587,50741,52125,57469,99793,95559,89510,48565,49472,81728,41858,15797,38.4,722579,55307,674668,14084,4177,11028,2954,48812,729074,658460,13619,2959,10934,2812,3215,37075,352132,105495,265470,375382,28.10%,70.72%,-42.62%,"103,423","254,241","364,374",28.38%,69.77%,-41.39%,27.0,29,7,2907
Missouri,MO08,R,Republican,"Poplar Bluff, MO",Butler County,602.08,58.13,2624.17,180.27,Smith,Jason,6/16/80,M,Jason Smith,0.1967,0.022,MO08,Missouri 08,771880,58701,386355,385525,100.2,44243,47681,51271,50888,48902,92126,94220,92635,51852,55042,84288,42920,15812,40.2,728530,43350,684002,30942,1501,6440,352,18974,752906,676313,30797,1275,6271,306,2241,35703,345974,82518,281060,367119,22.48%,76.56%,-54.08%,"86,552","274,779","366,570",23.61%,74.96%,-51.35%,21.7,29,8,2908
Montana,MT01,R,Republican,"Kalispell, MT",Flathead County,602.08,58.13,2996.73,180.26,Zinke,Ryan,11/1/61,M,Ryan Zinke,0.3723,0.0366,MT01,Montana 01,556623,70599,284002,272621,104.2,27207,29132,33705,34657,42608,73508,72366,61418,33753,39326,68532,30810,9601,40.1,521798,34825,484060,2198,23301,5499,211,23751,532872,476691,2110,22101,5416,209,2454,23891,266537,137405,174604,322059,42.66%,54.21%,-11.55%,"143,417","165,189","316,603",45.30%,52.18%,-6.88%,37.8,30,1,3001
Montana,MT02,R,Republican,"Billings, MT",Yellowstone County,602.08,58.13,2880.82,180.26,Downing,Troy,3/4/67,M,Troy Downing,0.3068,0.0245,MT02,Montana 02,548449,69114,276033,272416,101.3,31625,36095,35715,33539,30454,68746,68874,60214,34813,39652,65958,31259,11505,40.4,517206,31243,462716,3817,39807,3698,274,24768,523681,452515,3133,38644,3528,272,2260,23329,256402,94501,177475,280904,33.64%,63.18%,-29.54%,"101,369","178,413","287,037",35.32%,62.16%,-26.84%,31.2,30,2,3002
Nebraska,NE01,R,Republican,"Lincoln, NE",Lancaster County,602.09,58.14,2987.76,180.27,Flood,Mike,2/23/75,M,Mike Flood,0.3533,0.0864,NE01,Nebraska 01,656585,77380,330924,325661,101.6,40360,43102,45786,48174,56617,86298,84856,71982,37273,40479,61447,27461,12750,35.9,605251,51334,539121,20651,5421,17912,442,74333,582252,513566,20123,2164,17856,359,2271,25913,277239,136153,177666,318304,42.77%,55.82%,-13.04%,"136,956","171,957","316,440",43.28%,54.34%,-11.06%,36.6,31,1,3101
Nebraska,NE02,R,Republican,"Omaha, NE-IA",Douglas County,602.08,58.13,2857.9,180.27,Bacon,Don,8/16/63,M,Don Bacon,0.4157,0.0992,NE02,Nebraska 02,657288,82396,327578,329710,99.4,45946,47877,48326,45351,40510,94726,93790,76548,36378,38232,55883,24620,9101,35.6,601356,55932,480303,63013,4395,26132,257,85457,571831,454292,61420,1490,25917,242,2219,26251,276133,163541,148905,316690,51.64%,47.02%,4.62%,"163,239","143,429","312,940",52.16%,45.83%,6.33%,42.8,31,2,3102
Nebraska,NE03,R,Republican,"North Platte, NE",Lincoln County,602.08,58.13,3215.57,180.26,Smith,Adrian,12/19/70,M,Adrian Smith,0.238,0.061,NE03,Nebraska 03,652053,66736,329004,323049,101.8,40699,42891,45973,44896,39162,72806,76557,70930,40456,46780,74009,38445,18449,40,610156,41897,550967,9931,9765,5063,234,82436,569617,530600,9192,7867,4973,219,1204,15562,302259,70301,238245,312165,22.52%,76.32%,-53.80%,"74,388","241,459","322,332",23.08%,74.91%,-51.83%,24.8,31,3,3103
Nevada,NV01,D,Democrat,"Las Vegas-Henderson-North Las Vegas, NV",Clark County,602.09,58.13,1910.64,180.27,Titus,Dina,5/23/50,F,Dina Titus,0.241,0.2415,NV01,Nevada 01,763217,67470,383535,379682,101,40817,48642,51497,47939,43684,107281,103161,99402,49128,45940,74693,39757,11276,38.9,648059,115158,374511,70248,10869,61536,4098,276787,486430,309049,67219,2422,59994,3854,5870,38022,328005,168452,160877,335276,50.24%,47.98%,2.26%,"172,621","144,973","324,286",53.23%,44.71%,8.53%,24.8,32,1,3201
Nevada,NV02,R,Republican,"Reno, NV",Washoe County,602.08,58.14,2614.44,180.27,Amodei,Mark,6/12/58,M,Mark Amodei,0.2817,0.1329,NV02,Nevada 02,783965,82815,402243,381722,105.4,42048,45248,48729,46827,46451,110623,100716,91944,51460,53682,91095,41803,13339,40.1,680755,103210,542047,15985,14784,32904,3833,185671,598294,495479,15041,10632,32006,3477,3905,37754,340865,176315,235008,421161,41.86%,55.80%,-13.94%,"173,063","217,348","401,970",43.05%,54.07%,-11.02%,28.2,32,2,3202
Nevada,NV03,D,Democrat,"Las Vegas-Henderson-North Las Vegas, NV",Clark County,602.09,58.13,1910.64,180.27,Lee,Susie,11/7/66,F,Susie Lee,0.3335,0.2547,NV03,Nevada 03,795278,80667,396291,398987,99.3,43817,45207,47225,41346,43638,119150,119596,107229,50285,47679,77607,40633,11866,39.6,682908,112370,387124,82090,6103,136127,7810,174454,620824,343400,79209,2738,133714,7299,3312,51152,337161,187997,190836,385188,48.81%,49.54%,-0.74%,"190,167","166,069","363,064",52.38%,45.74%,6.64%,33.6,32,3,3203
Nevada,NV04,D,Democrat,"Las Vegas-Henderson-North Las Vegas, NV",Clark County,602.09,58.13,1918.97,180.27,Horsford,Steven,4/29/73,M,Steven Horsford,0.2002,0.1951,NV04,Nevada 04,798540,71818,400407,398133,100.6,50275,50882,57157,54094,49396,115847,107187,99364,48550,45440,77473,33905,8970,36.9,663380,135160,366620,127479,9678,43465,6840,280145,518395,295479,122807,4085,42381,6182,3888,43573,301307,172433,164484,343215,50.24%,47.92%,2.32%,"167,635","141,501","316,056",53.04%,44.77%,8.27%,21.2,32,4,3204
New Hampshire,NH01,D,Democrat,"Boston-Cambridge-Newton, MA-NH",Strafford County,602.08,58.13,1623.75,180.26,Pappas,Chris,6/4/80,M,Chris Pappas,0.3965,0.0702,NH01,New Hampshire 01,694195,97362,342674,351521,97.5,31139,34032,38029,42205,45310,89332,85025,88006,55452,53687,80258,38205,13515,42.7,655752,38443,616710,11163,838,17947,153,32208,661987,606484,10019,402,17919,132,2889,24142,324301,208186,199942,411957,50.54%,48.53%,2.01%,"210,310","186,410","403,198",52.16%,46.23%,5.93%,42.0,33,1,3301
New Hampshire,NH02,D,Democrat,"Boston-Cambridge-Newton, MA-NH",Rockingham County,602.08,58.13,1628.48,180.26,Goodlander,Maggie,11/4/86,F,Maggie Goodlander,0.3846,0.068,NH02,New Hampshire 02,693639,93978,349894,343745,101.8,32066,34470,38448,42699,40214,86533,83169,89059,52287,56147,85238,38426,14883,43.7,655420,38219,617439,10001,1085,17871,130,30550,663089,608300,9195,676,17811,122,2287,24698,319952,210302,195581,410159,51.27%,47.68%,3.59%,"214,627","179,250","400,635",53.57%,44.74%,8.83%,40.6,33,2,3302
New Jersey,NJ01,D,Democrat,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,602.09,58.13,2427.29,180.26,Norcross,Donald,12/13/58,M,Donald Norcross,0.3412,0.1082,NJ01,New Jersey 01,773787,88471,375369,398418,94.2,44122,47915,47162,48628,49003,105733,101202,98115,52677,52558,75667,36661,14344,39.2,712020,61767,483223,126472,1850,39415,355,118835,654952,463281,118708,242,39021,196,4985,28519,314313,220600,150098,376377,58.61%,39.88%,18.73%,"247,693","149,375","402,495",61.54%,37.11%,24.43%,35.9,34,1,3401
New Jersey,NJ02,R,Republican,"Atlantic City-Hammonton, NJ",Cape May County,602.09,58.13,2437.67,180.26,Van Drew,Jefferson,2/23/53,M,Jefferson Van Drew,0.2926,0.1055,NJ02,New Jersey 02,779492,83571,385083,394409,97.6,39321,45440,49792,47905,44697,89834,90874,97866,54596,60456,93089,48476,17146,43,708481,71011,532975,88138,3387,29018,329,136409,643083,498643,83572,1134,28661,329,3568,27176,414962,166360,214917,386844,43.00%,55.56%,-12.55%,"192,481","212,664","410,535",46.89%,51.80%,-4.92%,31.4,34,2,3402
New Jersey,NJ03,D,Democrat,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Burlington County,602.09,58.13,2427.29,180.26,Conaway,Herbert,1/30/63,M,Herbert Conaway,0.4521,0.1632,NJ03,New Jersey 03,779285,113769,383627,395658,97,38598,45822,48835,48973,45183,89465,100488,107514,58488,57133,79521,41852,17413,42.2,716472,62813,522578,98864,1673,63132,110,94653,684632,492282,94771,144,62654,72,4752,29957,303746,212712,179400,398668,53.36%,45.00%,8.36%,"248,284","186,603","440,666",56.34%,42.35%,14.00%,46.0,34,3,3403
New Jersey,NJ04,R,Republican,"New York-Newark-Jersey City, NY-NJ",Ocean County,602.09,58.13,2427.29,180.26,Smith,Christopher,3/4/53,M,Christopher Smith,0.3903,0.0988,NJ04,New Jersey 04,780618,95512,379926,400692,94.8,56103,52540,52783,48111,42237,85114,83000,88371,52523,55578,93586,48712,21960,41.1,728100,52518,651383,27198,2867,19151,336,86000,694618,625678,25847,189,19058,280,4156,19410,328867,142650,268072,416430,34.26%,64.37%,-30.12%,"163,106","259,059","427,724",38.13%,60.57%,-22.43%,40.8,34,4,3404
New Jersey,NJ05,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Bergen County,602.08,58.13,2486.47,180.27,Gottheimer,Josh,3/8/75,M,Josh Gottheimer,0.5345,0.2694,NJ05,New Jersey 05,772595,131132,379034,393561,96.3,39118,43271,50861,48095,42824,79845,97858,108687,60065,56320,81248,44131,20272,43.4,697847,74748,487533,43902,1640,122995,156,127645,644950,452645,41482,764,122557,146,4812,22544,300017,200624,194528,402838,49.80%,48.29%,1.51%,"240,209","186,611","432,269",55.57%,43.17%,12.40%,53.3,34,5,3405
New Jersey,NJ06,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Middlesex County,602.09,58.13,2427.29,180.26,Pallone,Frank,10/30/51,M,Frank Pallone,0.4152,0.2995,NJ06,New Jersey 06,773496,103302,385605,387891,99.4,43644,43988,45766,56443,53927,106596,103934,100100,52643,50294,70514,32202,13445,38.4,699589,73907,379766,90794,9500,138377,265,186969,586527,333572,83798,416,137355,149,6642,24595,297529,167151,146484,321741,51.95%,45.53%,6.42%,"197,825","133,268","335,439",58.98%,39.73%,19.25%,42.8,34,6,3406
New Jersey,NJ07,R,Republican,"Allentown-Bethlehem-Easton, PA-NJ",Warren County,602.08,58.13,2461.32,180.27,Kean,Thomas,9/5/68,M,Thomas Kean,0.5366,0.1645,NJ07,New Jersey 07,777102,133759,382826,394276,97.1,38472,44507,50053,50486,41397,79555,97938,114235,63556,57878,80812,40661,17552,43.6,709062,68040,570568,41285,1369,63825,152,101162,675940,542261,39532,360,63258,113,4592,25824,307302,216349,221591,446499,48.45%,49.63%,-1.17%,"235,951","218,151","461,600",51.12%,47.26%,3.86%,56.4,34,7,3407
New Jersey,NJ08,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Hudson County,602.09,58.13,2427.29,180.26,Menendez,Robert,7/12/85,M,Robert Menendez,0.3905,0.4666,NJ08,New Jersey 08,758849,81478,382018,376831,101.4,49169,42861,42658,39687,45095,148301,126472,95069,44871,37466,50851,25912,10437,35.8,617973,140876,275145,70425,7404,86563,229,389970,368879,191169,59730,909,85332,161,9744,21834,326796,135328,81523,222455,60.83%,36.65%,24.19%,"173,894","64,633","241,039",72.14%,26.81%,45.33%,40.6,34,8,3408
New Jersey,NJ09,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Passaic County,602.08,58.13,2482.52,180.27,Pou,Nellie,5/20/56,F,Nellie Pou,0.3286,0.3896,NJ09,New Jersey 09,763146,88130,374396,388750,96.3,46118,45927,49190,46803,47492,108891,105965,98767,49221,48045,70234,33163,13330,38.6,618992,144154,355857,67683,3250,67980,217,326179,436967,285160,62221,424,67198,162,5308,16494,285729,137598,140858,286539,48.02%,49.16%,-1.14%,"185,603","126,054","315,019",58.92%,40.01%,18.90%,33.2,34,9,3409
New Jersey,NJ10,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Hudson County,602.09,58.13,2427.29,180.26,McIver,LaMonica,6/20/86,F,LaMonica McIver,0.3148,0.3222,NJ10,New Jersey 10,765978,71062,371070,394908,94,48438,46958,50193,48629,51355,116658,103981,97092,50737,42637,65572,30467,13261,36.9,682449,83529,173094,377024,3222,49050,176,163139,602839,147538,368302,1200,48251,105,10294,27149,305937,196329,62565,263460,74.52%,23.75%,50.77%,"234,076","53,928","290,354",80.62%,18.57%,62.04%,32.2,34,10,3410
New Jersey,NJ11,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Essex County,602.08,58.13,2467.16,180.27,Sherrill,Mikie,1/19/72,F,Mikie Sherrill,0.5804,0.2243,NJ11,New Jersey 11,771662,134451,380526,391136,97.3,41186,45307,49597,51566,44996,84307,102671,109312,56073,53842,74848,39368,18589,41.8,691729,79933,508906,45703,1219,90467,158,131282,640380,475048,42846,412,89366,83,5674,26951,295973,219563,183688,411672,53.33%,44.62%,8.71%,"252,859","178,835","437,161",57.84%,40.91%,16.93%,58.9,34,11,3411
New Jersey,NJ12,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Middlesex County,602.09,58.13,2427.29,180.26,Watson Coleman,Bonnie,2/6/45,F,Bonnie Watson Coleman,0.4849,0.31,NJ12,New Jersey 12,771004,108871,379191,391813,96.8,42111,47849,52426,49889,46272,94708,103781,105112,54363,49973,73041,35990,15489,40.1,705709,65295,335114,123565,4519,148671,175,170725,600279,306064,118084,596,148257,159,5033,22086,294671,205449,124491,339201,60.57%,36.70%,23.87%,"236,355","114,094","355,052",66.57%,32.13%,34.43%,49.5,34,12,3412
New Mexico,NM01,D,Democrat,"Albuquerque, NM",Bernalillo County,602.09,58.14,2600.35,180.27,Stansbury,Melanie,1/31/79,F,Melanie Stansbury,0.3791,0.0928,NM01,New Mexico 01,709243,68383,348986,360257,96.9,34137,38067,41146,41992,41176,98088,92499,82359,44935,51767,86245,40615,16217,41.2,568551,140692,432054,20473,33415,19685,801,293890,415353,323406,17528,26211,18619,469,4056,25064,333706,194851,150029,353920,55.06%,42.39%,12.66%,"201,158","149,225","359,557",55.95%,41.50%,14.44%,39.1,35,1,3501
New Mexico,NM02,D,Democrat,"Albuquerque, NM",Bernalillo County,602.09,58.13,2920.72,180.27,Vasquez,Gabe,8/3/84,M,Gabe Vasquez,0.2281,0.1284,NM02,New Mexico 02,704881,57028,354156,350725,101,40921,45028,50673,53134,56221,93237,87582,76393,40132,42854,70664,35075,12967,36.5,523545,181336,351059,14744,40810,8208,775,424433,280448,206425,12801,35148,7421,401,3057,15195,296098,130539,135451,271659,48.05%,49.86%,-1.81%,"137,449","121,889","264,675",51.93%,46.05%,5.88%,23.3,35,2,3502
New Mexico,NM03,D,Democrat,"Santa Fe, NM",Santa Fe County,602.09,58.13,3253.32,180.27,Leger Fernandez,Teresa,7/1/59,F,Teresa Leger Fernandez,0.2569,0.0866,NM03,New Mexico 03,700644,60767,347226,353418,98.2,37891,44181,49138,47666,42398,87902,87473,78014,43255,47353,82278,39522,13573,39.7,579738,120906,350758,9492,127121,8172,473,299998,400646,242651,8053,120412,7685,378,2176,19291,319720,153411,137911,297824,51.51%,46.31%,5.20%,"163,007","130,780","299,733",54.38%,43.63%,10.75%,28.2,35,3,3503
New York,NY01,R,Republican,"New York-Newark-Jersey City, NY-NJ",Suffolk County,602.09,,1758.59,,LaLota,Nicolas,6/23/78,M,Nicolas LaLota,0.4509,0.1395,NY01,New York 01,778379,134743,386094,392285,98.4,37830,39727,46212,52887,50418,83313,86151,106899,62351,59172,88499,45064,19856,44.2,709555,68824,592416,36434,3059,40264,60,117449,660930,558710,33436,1042,39840,37,5650,22215,325889,190070,233206,429463,44.26%,54.30%,-10.04%,"207,858","215,362","428,299",48.53%,50.28%,-1.75%,47.6,36,1,3601
New York,NY02,R,Republican,"New York-Newark-Jersey City, NY-NJ",Suffolk County,602.09,,1758.59,,Garbarino,Andrew,9/27/84,M,Andrew Garbarino,0.3262,0.1896,NY02,New York 02,774678,123518,383865,390813,98.2,44797,44618,50287,48283,48160,104945,98928,105219,58334,52758,68568,35629,14152,39.7,686926,87752,480790,79159,2974,25618,208,224271,550407,426247,73370,1278,24745,178,5831,18758,263334,153928,204363,362137,42.51%,56.43%,-13.93%,"176,297","185,233","365,862",48.19%,50.63%,-2.44%,33.3,36,2,3602
New York,NY03,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Nassau County,602.09,,1792.26,,Suozzi,Thomas,8/31/62,M,Thomas Suozzi,0.5238,0.2889,NY03,New York 03,773153,137770,377609,395544,95.5,38579,43198,47202,44783,41655,84549,91347,103095,58577,57744,91118,46932,24374,44.5,712293,60860,458998,25263,2365,176636,321,112067,661086,432213,22903,1243,176008,224,8897,19598,281225,178099,194286,378302,47.08%,51.36%,-4.28%,"216,926","172,453","393,286",55.16%,43.85%,11.31%,53.5,36,3,3603
New York,NY04,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Nassau County,602.09,,1758.59,,Gillen,Laura,7/10/69,F,Laura Gillen,0.4336,0.2494,NY04,New York 04,772033,137263,380109,391924,97,42175,45978,50210,49727,47721,96667,98819,100126,55341,52338,78768,35774,18389,40.6,695794,76239,417724,137290,1838,55820,73,168328,603705,384102,132381,327,55459,68,7591,23777,260799,194428,189465,388579,50.04%,48.76%,1.28%,"223,909","166,538","394,485",56.76%,42.22%,14.54%,43.8,36,4,3604
New York,NY05,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Queens County,602.08,,1988.46,,Meeks,Gregory,9/25/53,M,Gregory Meeks,0.2768,0.4392,NY05,New York 05,792001,85500,378749,413252,91.7,46727,44534,50319,48108,49717,107333,97499,102195,57794,55499,77807,37874,16595,40,712666,79335,131090,330167,6739,121535,581,162704,629297,108813,319951,3676,120813,530,37806,37708,267658,170189,68170,242000,70.33%,28.17%,42.16%,"216,607","49,624","267,734",80.90%,18.53%,62.37%,28.6,36,5,3605
New York,NY06,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Queens County,602.08,,1988.46,,Meng,Grace,10/1/75,F,Grace Meng,0.3744,0.5511,NY06,New York 06,738059,79859,359076,378983,94.7,40150,37779,40432,34133,32603,103154,101029,103458,55544,50948,78354,42615,17860,42.8,664374,73685,223877,32681,3646,304854,461,184643,553416,191112,29082,1512,303810,423,6489,20988,298071,109480,96065,209347,52.30%,45.89%,6.41%,"149,718","81,324","232,973",64.26%,34.91%,29.36%,37.7,36,6,3606
New York,NY07,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Queens County,602.08,,1988.46,,Velázquez,Nydia,3/28/53,F,Nydia Velázquez,0.4151,0.3442,NY07,New York 07,745736,90196,365420,380316,96.1,46894,37475,39747,36411,51193,175701,119248,82953,38155,33885,50782,23143,10149,34.1,641400,104336,321825,92862,5528,93095,432,264029,481707,273622,78341,676,92679,351,7776,28262,325471,168187,60343,235013,71.56%,25.68%,45.89%,"199,115","48,083","249,547",79.79%,19.27%,60.52%,47.1,36,7,3607
New York,NY08,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Kings County,602.08,,1988.46,,Jeffries,Hakeem,8/4/70,M,Hakeem Jeffries,0.3521,0.3753,NY08,New York 08,769904,62703,354522,415382,85.3,47476,47435,49439,43316,45136,121701,97914,90347,48962,48398,72882,40107,16791,37.8,705781,64123,234510,341301,2395,60303,400,127806,642098,215032,326287,1283,59813,242,5472,33969,317200,170067,64988,238931,71.18%,27.20%,43.98%,"203,603","57,647","262,973",77.42%,21.92%,55.50%,34.9,36,8,3608
New York,NY09,D,Democrat,"New York-Newark-Jersey City, NY-NJ",Kings County,602.08,,1988.46,,Clarke,Yvette,11/21/64,F,Yvette Clarke,0.3694,0.4078,NY09,New York 09,749197,74202,356507,392690,90.8,52381,46442,49601,41949,41307,122403,101922,85268,44480,44273,72203,32482,14486,36.7,690024,59173,257115,317373,3447,62909,359,85028,664169,246043,308204,586,62416,287,9804,36829,303412,173762,71900,250858,69.27%,28.66%,40.61%,"204,222","63,657","269,726",75.71%,23.60%,52.11%,38.9,36,9,3609
New York,NY10,D,Democrat,"New York-Newark-Jersey City, NY-NJ",New York County,602.08,,1988.46,,Goldman,Dan,2/26/76,M,Dan Goldman,0.6057,0.2992,NY10,New York 10,732690,116134,357703,374987,95.4,41425,37203,38146,37665,43046,147138,118265,89884,41366,32970,62093,31102,12387,36.5,665455,67235,400084,46954,4524,143730,171,141195,591495,369573,43088,976,143037,159,6262,28400,357728,218940,51536,276966,79.05%,18.61%,60.44%,"242,638","40,374","285,858",84.88%,14.12%,70.76%,61.0,36,10,3610
